0.49,0.79,0.25,16,232,135,0.48,0.84,-0.00,35,139,-18
0.52,0.76,0.27,-51,199,327,0.49,0.83,-0.01,225,77,159
0.52,0.77,0.25,-231,239,796,0.49,0.84,-0.02,541,-38,535
0.50,0.78,0.25,-122,119,628,0.49,0.83,-0.01,437,-45,265
0.52,0.78,0.27,57,70,164,0.49,0.82,-0.03,80,29,-121
0.54,0.77,0.25,31,19,-217,0.50,0.82,-0.05,-279,7,-283
0.54,0.76,0.25,-14,34,-226,0.50,0.83,-0.03,-354,-19,-203
0.53,0.77,0.26,-18,63,-144,0.49,0.83,-0.02,-253,3,-173
0.53,0.76,0.25,-29,110,-170,0.48,0.83,-0.02,-266,53,-168
0.53,0.76,0.27,3,138,-211,0.49,0.84,-0.03,-239,93,-237
0.52,0.77,0.26,67,99,-222,0.49,0.83,-0.02,-230,96,-287
0.53,0.77,0.26,34,147,-149,0.50,0.83,-0.02,-191,101,-200
0.53,0.77,0.26,35,158,-152,0.50,0.83,-0.03,-227,137,-204
0.52,0.78,0.25,-1,201,-85,0.49,0.83,-0.03,-215,136,-120
0.52,0.76,0.26,-4,188,-134,0.49,0.83,-0.02,-177,154,-159
0.52,0.77,0.26,39,112,-105,0.50,0.84,-0.02,-193,69,-200
0.53,0.77,0.26,57,122,-185,0.49,0.83,-0.01,-217,87,-240
0.52,0.76,0.26,20,130,-145,0.49,0.83,-0.02,-195,99,-189
0.52,0.77,0.26,56,161,-91,0.49,0.84,-0.02,-150,142,-188
0.54,0.74,0.27,196,407,78,0.47,0.84,-0.01,128,436,-111
0.60,0.69,0.29,1315,2043,1112,0.42,0.89,0.02,1539,2231,90
0.58,0.72,0.25,2490,3426,1868,0.45,0.85,-0.01,2789,3795,2
0.54,0.79,0.24,2641,3835,1964,0.51,0.80,-0.04,2831,4205,42
0.51,0.79,0.22,2167,3085,1361,0.53,0.81,-0.07,2105,3402,-150
0.50,0.81,0.22,1278,1772,713,0.57,0.78,-0.10,1112,2022,-259
0.48,0.83,0.22,-95,108,-98,0.57,0.79,-0.11,-255,69,-192
0.48,0.83,0.21,-1426,-1753,-1146,0.57,0.77,-0.09,-1792,-2043,-259
0.48,0.84,0.19,-3000,-3595,-2121,0.60,0.77,-0.08,-3414,-4275,-107
0.54,0.77,0.24,-4122,-4772,-2752,0.52,0.82,-0.01,-4401,-5573,139
0.53,0.75,0.24,-3895,-4941,-2471,0.51,0.84,0.00,-4109,-5724,23
0.53,0.74,0.26,-3442,-4839,-1942,0.52,0.83,0.01,-3510,-5622,38
0.58,0.71,0.29,-2914,-4238,-1516,0.46,0.85,0.04,-2931,-4796,60
0.60,0.70,0.30,-1651,-2612,-927,0.43,0.87,0.03,-1719,-2796,-180
0.61,0.69,0.31,-182,-685,-55,0.42,0.88,0.04,-322,-659,-229
0.62,0.69,0.30,1122,1553,467,0.42,0.87,0.01,1052,1784,-302
0.63,0.68,0.29,2527,3591,1375,0.42,0.88,0.02,2509,4111,-417
0.63,0.69,0.26,4124,5771,2217,0.44,0.86,0.02,3978,6591,-462
0.60,0.71,0.22,5025,6966,2738,0.48,0.84,-0.00,4780,7878,-410
0.54,0.79,0.20,5289,6982,2689,0.55,0.80,-0.03,4613,7992,-579
0.52,0.80,0.20,4263,5888,2313,0.57,0.79,-0.06,3863,6512,-368
0.49,0.83,0.20,3099,4226,1812,0.58,0.79,-0.08,2851,4776,-273
0.47,0.86,0.21,1293,2405,1040,0.57,0.78,-0.09,1451,2572,96
0.46,0.84,0.20,-61,294,51,0.58,0.78,-0.10,-104,187,-52
0.47,0.84,0.21,-1532,-1905,-1002,0.58,0.77,-0.09,-1750,-2316,-145
0.47,0.85,0.21,-3236,-4218,-2136,0.60,0.75,-0.07,-3545,-4948,-80
0.50,0.81,0.18,-4758,-6057,-3045,0.59,0.79,-0.06,-4962,-7045,37
0.57,0.73,0.21,-5311,-7133,-3490,0.54,0.81,0.01,-5424,-8195,-78
0.60,0.70,0.25,-4911,-6734,-2939,0.47,0.86,0.03,-4892,-7640,-41
0.61,0.70,0.29,-3474,-5367,-2215,0.45,0.85,0.04,-3807,-5927,-261
0.62,0.67,0.30,-2347,-3447,-1491,0.42,0.88,0.03,-2435,-3843,-209
0.61,0.67,0.31,-807,-1336,-679,0.41,0.88,0.02,-998,-1465,-198
0.63,0.69,0.31,797,1072,212,0.40,0.90,0.03,708,1239,-373
0.64,0.67,0.29,2588,3676,1225,0.39,0.89,0.04,2442,4276,-505
0.63,0.70,0.25,4154,5876,1993,0.44,0.86,0.03,3826,6580,-557
0.58,0.75,0.21,5104,7151,2578,0.49,0.83,-0.00,4481,8061,-401
0.47,0.83,0.15,4535,6043,2088,0.58,0.79,-0.07,3873,6832,-656
0.42,0.88,0.16,2534,3351,1312,0.64,0.74,-0.13,2028,3763,-387
0.37,0.93,0.16,-480,-669,-196,0.65,0.73,-0.15,-629,-864,-224
0.44,0.90,0.19,-3703,-4562,-2220,0.60,0.74,-0.08,-3830,-5365,34
0.62,0.67,0.27,-4163,-5221,-2454,0.40,0.91,0.06,-3842,-6029,212
0.76,0.57,0.35,-248,183,-57,0.22,1.00,0.10,-251,275,178
0.53,0.74,0.21,2775,3899,947,0.50,0.84,-0.06,2220,4354,-630
