7016,14936,1228,139,-60,-368,100,15628,2532,-292,-74,-687
7124,14820,1332,-22,-77,-255,76,15772,2600,-351,-210,-499
7080,14876,1196,-124,-234,-474,176,15756,2528,-422,-290,-666
6972,14972,1216,-72,-322,-429,-36,15848,2544,-351,-335,-700
6884,14736,1068,38,-21,-423,-60,15836,2588,-392,-25,-617
7124,14888,1124,142,5,-307,-44,15720,2484,-323,3,-629
6640,14692,1180,92,84,-499,120,15608,2632,-520,55,-646
6864,14976,1100,128,219,-665,-276,15752,2536,-690,130,-720
6880,14600,1220,437,489,-929,-48,15720,2488,-746,657,-989
6816,14772,1448,689,701,-819,-180,15696,2688,-751,846,-963
6512,14932,960,-13,230,89,-308,15616,2756,-69,178,-166
6332,14888,1048,-155,187,186,-256,15640,2680,-67,32,-32
6640,14880,980,-134,111,3,-312,15752,2644,-195,17,-194
6728,14972,1112,-119,288,-47,-400,15728,2916,-298,56,-129
6532,14952,940,-201,1,85,76,15732,2528,-62,-159,-205
6156,16076,448,-1422,-1266,-197,812,15104,2288,-708,-1972,-143
6764,15104,1252,-3382,-2594,-1482,28,15456,2872,-2020,-4122,-88
7712,13608,2064,-1510,-657,-590,-1352,16340,3524,-1023,-1367,183
7320,14028,1876,2236,2189,573,-1184,15972,3252,814,3200,-575
5936,15864,464,2463,1607,1080,1092,15540,2104,1364,2589,-733
6072,16000,928,-1243,-559,-648,824,15200,2468,-1177,-1326,9
7792,13792,2312,-1409,-286,-746,-1564,15948,3592,-1162,-1042,278
7164,14124,820,2440,3042,1534,-720,16544,2676,1504,4018,27
5852,16340,532,977,1445,856,1296,15004,2084,463,1466,93
6308,15368,964,-2221,-1636,-1102,712,15432,2608,-1420,-2672,-313
7196,13932,1708,-1505,-998,-965,-664,16088,3012,-1227,-1704,-223
6980,14352,1512,460,795,65,-336,15988,2976,-131,922,-292
6688,15160,1300,754,561,47,332,15784,2788,168,875,-595
6768,15044,1040,-23,47,-296,156,15652,2624,-303,-15,-483
7056,14832,1264,-179,175,-255,-136,15668,2832,-493,-22,-244
6896,14924,1224,43,573,-232,148,15736,2680,-438,455,-230
6484,14808,1316,81,629,-208,76,15744,2772,-420,430,-221
6676,14900,1192,12,250,-99,156,15756,2828,-279,132,-329
6852,14972,1324,-19,138,-158,-28,15800,2908,-278,31,-329
6644,14704,1412,-5,154,-167,216,15660,2744,-248,92,-326
6852,14924,1196,-43,237,-120,96,15680,2756,-352,121,-225
6548,14768,1304,-20,178,-260,48,15720,2732,-368,81,-385
6892,14924,1408,62,330,-206,4,15864,2840,-391,188,-334
6832,14916,1320,72,310,-223,100,15652,2672,-326,216,-399
6764,14852,1236,-4,322,-212,60,15784,2788,-380,199,-310
6708,14900,1252,20,242,-172,216,15684,2908,-344,160,-290
6776,14932,1184,-22,208,-242,68,15728,2704,-405,111,-367
6512,14892,1392,49,305,-233,-44,15832,2868,-378,215,-324
6688,14920,1224,93,315,-172,104,15716,2672,-318,271,-345
6796,14836,1332,143,374,-153,60,15712,2920,-304,303,-368
6720,14860,1432,218,504,-161,156,15756,2748,-230,511,-361
6696,15056,1328,262,442,-103,80,15816,2872,-230,460,-342
6692,14948,1380,-6,293,-209,152,15728,2816,-342,166,-278
6828,14800,1432,-59,72,-135,-84,15692,2800,-289,-3,-324
6980,14976,1236,49,129,-67,-40,15696,2760,-186,47,-375
7036,15024,1316,-12,179,-160,48,15732,2736,-298,39,-337
6880,14908,1260,-221,174,-100,36,15724,2584,-317,-2,-182
